151940	822	1276636
439486	52302	1431239
456941	55845	6068
559781	13892	63550
823966	95313	95313
911407	98401	98401
1109108	822	2129362
2091482	210719	
2131051	76835	76835
2141166	76835	1025019
2318356	273501	562073
2418314	11238	
2591311	309853	568471
2636538	312743	312743
2644266	235654	235654
2969715	34935	96313
3035869	267269	418183
3145655	95313	95313
3166551	297762	
3226743	2504283	703019
3292810	226709	226709
3419987	372405	372405
3427058	82156	63550
3495908	205192	684582
3624311	302328	844882
3916700	462252	
4009133	485695	356895
4105966	388826	
4129191	363025	21234
4325239	525495	427545
4401227	329993	
4464674	449918	449918
4545437	513162	
4618185	324207	
4737265	440602	440602
4847027	562743	63550
4894936	548223	548223
5093734	630560	
5097838	571921	1224741
5106399	608805	608805
5185587	643567	1402846
5273295	329993	
5323437	252037	
5535672	210130	787856
5626213	82156	281545
5763338	630313	442695
5763815	290028	446591
5921190	111995	137954
6070857	67063	67063
6200598	619252	
6236110	516701	600500
6290587	369116	
6330456	448192	474193
6343299	398309	875317
6486348	816458	
6496013	615779	
6521076	202870	202870
6763689	590840	
6931618	874161	152291
6946936	520510	
7429366	946560	
7596063	932501	832776
7649880	978713	978713
7827593	852499	852499
7875656	234270	
8008216		
8097801	568508	281545
8272212	475472	296427
8497703	1047608	403455
8987735	852406	63550
9045507	384005	384005
9127423	919721	
9148893	1052709	873177
9288544	1196072	2515628
9563438	800848	1507439
9624844	1257525	1257525
10044003	800848	
10198865	1146023	1146023
11126637	1180135	1180135
11656129	1135909	1095451
11867718	1071165	1071165
12022627	1609354	1300995
12213252	1008203	
12298472	1644200	1300995
12345118	642161	642161
12437754	1448619	
12439378	1101845	1101845
12484767	243827	
12579068	1514026	
13122204	384193	
13381228	508194	1129332
13648873	793242	793242
13772131	838023	
14027682	1546570	192901
14167949	1588183	1019952
14183719	533049	
14364222	1866427	53926
14477694	1763577	
14810791	1696653	
15431632	2173753	1208581
15495497	966185	
15612964	565319	
15975836	2171628	489607
16143652	1341006	
16143710	1051147	
16332569	2341962	499214
16365132	505984	505984
16599549	2392063	2392063
16862490	2441344	
16879984	2444518	2444518
17189717	2190700	
17738487	1076491	
17867711	2272464	
17922680	2553242	2553242
18529339	727498	
19854415	2152228	
20234920	3008285	
20584974	185565	
20586544	1665807	
20718356	2174731	
21471645	11015	
22372292	1065220	
22375569	565244	
22751867	893432	
23028870	2345297	
23218415	939193	
24026132	684582	
24158002	3729079	3436608
24168871	1692590	1692590
24339989	1079001	1079001
24473783	1876355	
24549771	1118886	
24558553	765507	
24632346	1635488	
24649791	1251718	
24729110	3801247	
24809944	2695685	
24879369	2771555	2771555
24938889	1292736	1292736
24962497	3875522	3875522
25133309	3187176	3187176
25191846	972194	972194
25304225	2466169	
25483262	1811719	1811719
25659478	1151208	2390075
25764891	609782	
25891286	4014448	
25971064	1774382	
25993873	1665964	
26034764	1849837	
26134056	2038801	
26139304	188926	
26251197	2914140	
26331955	4109436	
26417291	2851687	2851687
26555414	1992067	
26601009	3072449	
26662873	2915785	
26666696	1713757	
26683836	250260	
